#CID ZCMB Type MJD_TRIGGER MWEBV
1257474 1.32594 SNIa 59825.359 0.030878
1160063 1.45887 - 60243.066 0.0157473
1172940 0.872785 SNIb 59727.961 0.0249697
1052997 1.11303 - 59879.367 0.316733
1261768 1.2314 - 60032.152 0.05631
1110783 1.45736 SNII 60196.227 0.0116716
2010854 0.90687 SLSNI 59608.375 0.104094
1062965 0.399584 SNIIn 60640.352 0.0260769
1215894 0.948366 SNIc 60546.18 0.014331
2000880 1.83003 - 59820.402 0.0536332
1065749 0.62912 - 59784.309 0.0166946
2015562 1.38302 SLSNI 59784.414 0.0209873
1116190 1.48108 - 59708.973 1.50544
2009749 1.29463 SLSNI 59654.148 0.0585419
1119054 1.4821 - 59914.02 0.0159913
1167585 1.44532 - 60049.98 0.0424553
1262699 1.16615 SNIa 60292.348 0.0241889
1170374 0.959827 SNIb 59796.266 0.0120906
1171935 1.00656 - 60054.195 0.257597
1103024 0.836329 SNII 60553.324 0.0166569
1068078 0.661379 SNIIn 60180.234 0.0159899
1217107 0.519019 SNIc 60572.379 0.0854577
1214938 1.16132 SNIc 59645.406 0.0647712
1256748 0.931622 SNIa 60580.383 0.288979
1062914 1.14499 - 60082.953 0.0525493
1059546 0.977326 SNIIn 59773.082 0.114345
1054022 0.736565 SNIIn 60269.039 0.0109794
1262028 0.372506 SNIa 60673.355 0.0342581
1208607 0.485573 SNIc 59718.152 0.0571109
1274716 1.60151 SNIa 60634.027 0.0360237
2014531 1.91849 SLSNI 59916.281 0.276283
2012113 0.185789 - 60371.391 0.164596
2003505 1.53789 SLSNI 59879.066 0.0313662
1172636 1.08748 SNIb 60415.992 0.0255913
1107747 1.1389 SNII 60432.27 0.450362
1270003 1.38416 SNIa 59713.27 0.0814896
1209002 1.26078 SNIc 60023.379 0.394208
1166858 1.1795 SNIb 59585.055 0.262815
1119287 1.21458 - 60043.23 0.0293778
1065988 0.630658 SNIIn 60378.402 0.624153
1271172 0.91832 SNIa 59590.238 0.104884
2009998 1.45692 - 60217.148 0.0148323
1059168 1.25999 - 59817.324 0.0217046
1121751 1.17424 SNII 60616.355 0.032064
1263930 0.934111 SNIa 59662.0 0.0646638
1054903 0.922528 SNIIn 60429.16 0.0391761
2008510 2.46987 SLSNI 60278.348 0.0296829
1163111 0.623535 SNIb 59920.312 0.0500302
2000717 1.7469 SLSNI 60426.117 0.0489412
1274583 1.56204 SNIa 59772.102 0.0595673
1109216 0.683085 SNII 59899.328 0.0444172
1208199 0.522602 SNIc 60297.312 0.0444258
2000966 1.07646 SLSNI 60181.258 0.0169455
