#CID ZCMB Type MJD_TRIGGER MWEBV
1172986 1.4845 SNIb 60050.41 0.0183027
1064401 1.11044 SNIIn 60123.062 0.343202
1265629 1.32346 SNIa 60571.141 0.118397
1104032 0.777813 SNII 59879.047 0.10236
2004645 2.42705 SLSNI 59690.262 0.0761908
1269373 1.57865 SNIa 60278.152 0.0555993
1159738 0.784062 SNIb 60462.043 0.0313745
1270438 0.848174 SNIa 60249.293 0.0667713
2006254 1.15077 SLSNI 59899.348 0.0366202
1208243 1.48098 SNIc 59588.035 0.0123761
1109698 1.13101 SNII 60292.348 0.0241889
1113136 1.11786 SNII 60572.375 0.0639053
1156161 1.11769 SNIb 59770.293 0.0422217
1058066 0.930859 SNIIn 60425.238 0.0486862
1164677 1.27271 SNIb 60318.051 0.0203612
1121810 0.923098 SNII 60094.176 0.552877
1274749 1.43995 SNIa 59903.344 0.0827324
1265405 1.17851 SNIa 60333.367 0.0756747
1066741 1.12048 SNIIn 59948.316 0.0597558
1262557 0.762563 SNIa 59860.195 0.0414897
2017333 2.36848 SLSNI 60529.055 0.0617646
1160552 1.4295 SNIb 59715.297 0.203071
1206215 1.35771 SNIc 59683.977 0.316048
1056638 1.1678 SNIIn 60357.191 0.191769
1269954 0.332561 SNIa 60357.148 0.0276214
1108293 1.33098 SNII 60538.43 0.0430001
2008306 2.4013 SLSNI 59589.367 0.0173459
1058756 0.550605 SNIIn 59631.332 0.897711
2012893 0.912168 SLSNI 60193.055 0.0763327
1055917 1.52545 SNIIn 60588.078 0.0480974
2009413 2.19783 SLSNI 60585.992 0.28191
1060298 0.796565 SNIIn 60371.07 0.0107767
1222843 1.35831 SNIc 60593.324 0.0499418
2014428 0.933444 SLSNI 60138.438 0.0214849
1066272 0.781873 SNIIn 60111.016 0.0677591
1156273 0.291958 SNIb 59998.395 0.0488546
1264091 1.15347 SNIa 60158.395 0.00642422
1259288 1.36852 SNIa 60456.43 0.0362332
1121233 0.822466 SNII 59594.188 0.0425602
1055361 1.18404 SNIIn 59679.992 0.306739
1209677 1.2801 SNIc 60592.008 0.026101
2004815 1.10907 SLSNI 60370.293 0.0326579
1222897 0.543831 SNIc 59920.039 0.0230384
1064610 1.2774 SNIIn 60348.039 0.0309737
1270611 1.51547 SNIa 60023.402 0.120914
1118943 1.075 SNII 60017.398 0.152378
1207067 1.18111 SNIc 60057.145 0.0496026
1163320 1.03279 SNIb 60122.352 0.0199636
2002412 1.38239 SLSNI 59933.344 0.022357
1109314 0.782762 SNII 60063.422 0.0311684
1209143 1.26997 SNIc 60138.051 0.0285838
1058782 1.09131 SNIIn 60664.234 0.0373152
1169794 0.669861 SNIb 60148.973 0.0725522
1107225 0.947091 SNII 59594.25 0.270867
2000436 2.38857 SLSNI 60414.398 0.0340796
1267438 1.35819 SNIa 60037.031 0.022416
1259108 1.32341 SNIa 59898.219 0.0776984
2011052 2.14106 SLSNI 60465.441 0.0156718
1209074 0.399344 SNIc 60276.09 0.0136049
1220457 1.3456 SNIc 60593.293 0.0142381
1103214 1.29122 SNII 60486.16 1.17476
1170919 0.450144 SNIb 60656.066 0.0261378
1069537 0.991013 SNIIn 60269.309 0.52819
1256392 0.441283 SNIa 59654.199 0.046405
2009010 1.32534 SLSNI 60557.367 0.0282005
1064097 0.934268 SNIIn 59683.156 0.0538577
1162080 1.02159 SNIb 60419.254 0.0509211
1256973 0.374027 SNIa 60446.082 0.0231606
1069550 1.0425 SNIIn 59679.977 0.0270679
2002704 2.16386 SLSNI 59729.301 0.0394947
1065405 0.742677 SNIIn 60652.035 0.0275466
2007764 1.76425 SLSNI 60133.441 0.0680756
1166562 1.27309 SNIb 60357.328 0.0720794
1168714 0.712713 SNIb 60093.965 0.0428103
1216416 0.496341 SNIc 60416.172 0.0693728
1114338 0.965932 SNII 60395.0 0.552718
2015711 2.03893 SLSNI 60359.395 0.263114
1272834 1.63004 SNIa 59810.281 0.0292946
1272764 1.18079 SNIa 60295.344 0.0276973
2000554 1.31001 SLSNI 59799.984 0.0570503
1108594 0.78728 SNII 59964.191 0.0584178
2016826 2.36144 SLSNI 59797.43 0.0256948
1070155 1.04606 SNIIn 60511.977 0.139029
2018458 2.20417 SLSNI 60121.438 0.0165479
1068613 0.970962 SNIIn 59693.984 0.023107
1204281 1.14399 SNIc 59907.332 0.0181839
1165903 1.04548 SNIb 59914.344 0.0437295
1205741 0.183139 SNIc 60052.98 0.552463
1215367 1.32226 SNIc 59678.406 0.323627
1213529 1.32289 SNIc 59675.98 0.129327
2002322 2.22337 SLSNI 60528.969 0.466521
1172813 1.10139 SNIb 60300.277 0.071815
2007324 1.96055 SLSNI 60457.434 0.030762
1161707 0.499804 SNIb 59918.066 0.0366574
1112126 0.968283 SNII 60223.387 0.174064
1102269 1.11423 SNII 60009.262 0.0777922
1264846 1.09415 SNIa 60499.965 1.82035
2009921 2.52384 SLSNI 59584.18 0.520618
1155236 1.0388 SNIb 59715.367 0.350918
1104488 1.42239 SNII 60178.383 0.0221095
1059564 0.921555 SNIIn 60531.418 0.0601939
1155439 1.03104 SNIb 59807.109 0.0544862
1118242 1.12841 SNII 60284.035 0.0816269
1166546 0.673939 SNIb 60446.391 0.0136275
1115547 0.452563 SNII 60443.348 0.0423094
1120085 0.730765 SNII 59791.07 0.0332926
1055427 1.16817 SNIIn 59800.105 0.0418752
1271375 1.45919 SNIa 60659.125 0.0402548
1065659 1.02389 SNIIn 60350.387 0.101421
1172873 0.799801 SNIb 60443.355 0.0265757
2017596 0.545576 SLSNI 59716.367 0.0578305
1105110 1.54052 SNII 60101.164 0.0486379
1160657 1.19261 SNIb 60569.336 0.00399316
1117238 0.508547 SNII 59722.305 0.0761937
1156380 1.07477 SNIb 60066.402 0.040449
1263368 1.39213 SNIa 60028.406 0.463582
1108567 0.731991 SNII 60395.094 0.0288395
1102018 1.52149 SNII 60673.281 0.129212
1108660 1.36936 SNII 60608.371 0.293998
1214126 0.908341 SNIc 60223.387 0.174064
1109142 0.35281 SNII 60267.02 0.0189854
1205045 0.967795 SNIc 59860.297 0.0990215
2008597 0.421506 SLSNI 60461.207 0.297147
1170873 0.94572 SNIb 60265.148 0.0148046
2015331 0.859075 SLSNI 59812.336 0.0248914
1168812 1.05252 SNIb 59625.113 0.0459644
2016941 1.0657 SLSNI 60463.227 0.371211
2011084 2.72276 SLSNI 60198.379 0.0650815
1121626 0.952521 SNII 60585.035 0.132442
1058408 0.94068 SNIIn 60398.133 0.0736489
1273672 0.664138 SNIa 60364.016 0.0570732
1059247 0.584566 SNIIn 60302.156 0.784497
1057355 1.49367 SNIIn 59995.215 0.0845025
1258471 1.0947 SNIa 60673.324 0.0819464
1162391 0.647784 SNIb 60248.023 0.0189743
2011294 1.77249 SLSNI 60661.344 0.0414499
1068336 1.46127 SNIIn 59783.367 0.015166
2007847 2.75501 SLSNI 60569.277 0.0130974
2015344 2.82916 SLSNI 59946.312 0.0736179
1169997 1.11814 SNIb 59684.977 0.053145
2016552 2.74278 SLSNI 59862.379 0.155053
2017385 2.02647 SLSNI 60250.348 1.64971
1118845 1.29469 SNII 59887.082 0.0182061
1057555 1.54993 SNIIn 60027.195 0.104404
1110609 1.30134 SNII 59805.254 0.0134989
1067243 1.27263 SNIIn 60364.387 0.199658
1208825 0.912282 SNIc 60040.406 0.0258758
1120193 0.588643 SNII 60511.055 0.048871
1160233 0.55022 SNIb 60039.387 0.0407331
1113147 0.987059 SNII 60443.074 0.0274449
1062828 0.582026 SNIIn 59775.434 0.0122128
1153026 1.15043 SNIb 60568.312 0.0133781
1269598 1.29317 SNIa 59770.352 0.0107007
1259194 1.25164 SNIa 59973.375 0.036527
2018356 2.35166 SLSNI 60038.301 0.353707
1111589 1.48247 SNII 59932.348 0.0350053
1214660 0.78712 SNIc 59757.438 0.0603655
1270194 0.359292 SNIa 59993.383 0.473942
1113172 0.40549 SNII 60436.094 0.0175638
1206063 1.34006 SNIc 60242.254 0.0403633
1053874 0.572643 SNIIn 59584.055 0.380544
1206820 0.694281 SNIc 60580.395 0.11547
1164438 1.03978 SNIb 60301.32 0.0434038
1223862 1.02362 SNIc 59668.414 0.897946
1222228 1.17553 SNIc 59652.152 0.0911417
1155383 1.00954 SNIb 60367.383 0.778395
1266535 0.918392 SNIa 59769.18 0.0694047
1103127 0.754853 SNII 60083.301 0.0194638
2007185 0.885912 SLSNI 60633.32 0.0576951
1259772 1.26274 SNIa 59896.359 0.035819
1109900 0.279231 SNII 60397.238 0.0653269
2011444 2.82977 SLSNI 60497.43 0.066124
1063970 1.00869 SNIIn 60118.395 0.0115097
2000851 2.67232 SLSNI 60390.395 0.191011
2014191 2.08308 SLSNI 59681.262 0.583841
2006442 0.897804 SLSNI 60023.406 0.0960293
1266054 0.80087 SNIa 60019.004 0.0308441
1168750 0.914368 SNIb 60315.355 0.0196343
1102203 0.484802 SNII 59979.105 0.219953
1160836 1.31742 SNIb 59776.43 0.0136621
1265108 1.28076 SNIa 60013.16 0.0216166
1265484 0.827562 SNIa 60383.406 0.291725
1269759 0.834685 SNIa 59758.422 0.0494316
1120846 0.543943 SNII 60671.348 0.0799673
1115397 1.51682 SNII 59636.395 0.0657189
1117245 0.767762 SNII 59657.09 0.0266817
1053301 0.968474 SNIIn 60041.418 0.0228969
1065292 0.953834 SNIIn 59946.094 0.0255641
1221389 0.641321 SNIc 60026.379 0.0421
1114576 0.697906 SNII 59877.004 0.0871644
2012006 2.11321 SLSNI 59588.141 0.0277009
1163066 1.12273 SNIb 59622.023 0.020636
1162908 1.31353 SNIb 59615.199 0.0564361
1258179 0.939959 SNIa 60425.395 0.0300544
1261481 0.911276 SNIa 60611.363 0.024967
2014953 1.3537 SLSNI 60178.152 0.0493894
1221108 1.20413 SNIc 60484.227 0.174717
1118206 0.850871 SNII 59683.07 0.0550192
1268431 1.61414 SNIa 60528.215 0.0320625
1166273 1.31083 SNIb 60312.32 0.0586803
1163982 0.531022 SNIb 60649.086 0.0131164
1068814 1.24103 SNIIn 59917.062 0.035602
1222094 1.08819 SNIc 59802.188 0.0511468
1102588 1.02059 SNII 60011.02 0.00895825
1213637 1.37837 SNIc 60393.074 0.10547
1221628 1.06847 SNIc 60515.18 0.718096
1171799 1.25455 SNIb 59722.324 0.0540529
1271030 0.972076 SNIa 59711.207 0.0810034
1272966 0.858921 SNIa 60333.277 0.297607
1271302 0.747296 SNIa 59858.051 0.00783601
1158762 1.42522 SNIb 59668.984 0.16639
1204201 0.777257 SNIc 59807.113 0.0574702
1068273 0.967237 SNIIn 60142.438 0.0768884
1102041 0.868166 SNII 59789.406 0.01709
1121334 1.26833 SNII 59653.012 0.0460062
1221353 0.651325 SNIc 60598.047 0.0908006
1160715 0.915925 SNIb 59822.363 0.0570595
1068183 1.59034 SNIIn 60328.141 0.0898456
1273779 0.66719 SNIa 59597.211 0.0754677
1211224 0.754651 SNIc 60036.066 0.0483404
1208036 0.962801 SNIc 60333.316 0.0598436
1154945 1.26563 SNIb 60166.414 0.0373692
1210187 1.36451 SNIc 60128.375 0.0162032
1271275 0.422414 SNIa 59808.008 0.0769947
1171522 1.04774 SNIb 59922.066 0.0304485
1265670 1.53733 SNIa 59868.375 0.0699865
1261214 1.45704 SNIa 60415.414 0.110814
2001314 1.53493 SLSNI 59846.055 0.39894
1270424 0.811961 SNIa 60530.156 0.0212762
1115008 1.30082 SNII 60079.957 0.0760227
1108983 0.85806 SNII 60331.352 0.0282029
1259705 0.932004 SNIa 59597.215 0.0930578
1222747 1.10613 SNIc 60094.98 1.06776
1164167 0.838269 SNIb 60058.418 0.0390002
2007160 2.67272 SLSNI 60570.406 0.449217
1261728 0.707545 SNIa 59803.152 0.0105192
1116684 0.523061 SNII 59770.324 0.0189124
2003414 1.57069 SLSNI 60183.348 0.0126022
1215319 0.853951 SNIc 60052.016 0.116774
1069439 1.20782 SNIIn 60200.988 0.143316
2000326 2.75694 SLSNI 60095.211 0.132995
2018525 1.37256 SLSNI 59929.105 0.01635
2007964 1.436 SLSNI 60539.32 0.0172824
1262870 0.989171 SNIa 59724.434 0.0415067
2011455 2.54536 SLSNI 59590.035 0.0719606
1263035 1.61711 SNIa 60566.047 0.0380451
1214033 1.01418 SNIc 59976.133 0.0564418
1160808 0.534665 SNIb 60601.371 0.479477
1256947 0.620991 SNIa 60042.984 0.254416
1272622 1.21114 SNIa 59822.035 0.0474215
1117515 0.803117 SNII 60366.18 0.199214
2012590 2.33716 SLSNI 60055.363 0.224748
1106901 1.2488 SNII 60394.34 0.047916
1155821 0.142509 SNIb 60392.008 0.0240096
1205620 1.34659 SNIc 60122.184 0.0597594
1117244 0.629729 SNII 60251.312 0.361263
1210324 0.969845 SNIc 60305.277 0.0432824
1222697 0.960887 SNIc 60041.41 0.0530394
1215169 0.887223 SNIc 60145.355 0.0103641
1116726 0.40525 SNII 60486.391 0.0112109
1111575 1.17662 SNII 60503.07 0.0907644
1162363 0.461869 SNIb 60389.406 0.101557
1272739 1.0653 SNIa 59655.117 0.0640872
1164942 0.797504 SNIb 60127.422 0.0135594
1220953 0.38045 SNIc 59770.281 0.0274747
1109767 0.659608 SNII 60000.387 0.581225
1269467 0.343545 SNIa 60296.344 0.0270362
1111680 0.255104 SNII 60087.297 0.0563113
1115439 0.888899 SNII 59589.266 0.509293
1102319 0.865668 SNII 59823.418 0.0085452
1170065 0.666773 SNIb 59657.086 0.0207705
2015962 2.41888 SLSNI 60305.352 0.0241396
1108487 0.902828 SNII 60052.422 0.0579774
1068874 1.28811 SNIIn 59922.035 0.0225301
1054333 0.536594 SNIIn 59999.258 0.0523477
1062583 1.57561 SNIIn 59668.996 0.0505024
1273888 1.52158 SNIa 60101.953 0.833115
1169653 0.872095 SNIb 60492.434 0.0312065
1216792 1.28915 SNIc 60061.395 0.0123803
1162054 0.696524 SNIb 60463.383 0.0103639
1054092 0.664826 SNIIn 59666.008 0.03311
1154170 0.477893 SNIb 60666.113 0.0671746
1070923 1.2165 SNIIn 60400.301 0.0535413
2006435 2.14881 SLSNI 60361.391 0.261158
2019041 1.90374 SLSNI 59771.152 0.017876
1207823 0.710915 SNIc 59594.188 0.0421213
2017321 1.09221 SLSNI 59770.16 0.0791024
2013083 2.3326 SLSNI 60539.406 0.0350055
2004004 2.80489 SLSNI 59953.082 0.0295084
2009302 1.46747 SLSNI 60353.383 0.0875622
1070681 1.32918 SNIIn 60164.035 0.0658298
1215675 1.40725 SNIc 60148.336 0.0352941
1057032 1.00059 SNIIn 60643.18 0.460457
1165382 1.45499 SNIb 60027.402 0.0355968
1066442 1.38374 SNIIn 60132.082 0.0252327
1111810 1.29631 SNII 59924.355 0.119997
2008618 1.49398 SLSNI 60486.402 0.0185242
1154437 0.952881 SNIb 59903.031 0.0290059
1259702 1.07564 SNIa 60456.434 0.031767
1067261 1.0161 SNIIn 60463.383 0.0110852
1119277 0.872279 SNII 60094.262 0.227039
1260922 0.952098 SNIa 60444.004 0.0569575
1114273 0.992024 SNII 60393.129 0.168999
2016447 0.315153 SLSNI 59898.266 0.100978
1223319 0.704542 SNIc 59895.176 0.0274232
1156237 0.852561 SNIb 60275.18 0.116404
1271876 1.04342 SNIa 60067.02 0.122475
1263108 0.721359 SNIa 59636.395 0.0529845
1210052 0.801638 SNIc 59799.266 0.0102668
1056653 1.07644 SNIIn 60140.441 0.0355179
1212752 1.01534 SNIc 59756.961 0.101122
1069464 0.823572 SNIIn 60340.383 0.139367
2019161 2.08916 SLSNI 60030.293 0.0373455
1206734 1.39593 SNIc 59818.98 0.353743
1109665 1.28575 SNII 59686.348 0.103201
1255080 1.10455 SNIa 60363.387 0.316091
1108317 0.465988 SNII 60268.348 0.0485282
1067473 0.598117 SNIIn 59604.367 0.117454
1051671 1.21994 SNIIn 60389.367 0.0513105
1109785 1.35695 SNII 59941.105 0.0196437
1163127 1.31501 SNIb 59800.105 0.0314865
