#CID ZCMB Type MJD_TRIGGER MWEBV
1115405 1.39777 SNII 59789.086 0.0419524
1055358 1.45964 - 60367.387 0.57536
1114860 1.33642 SNII 60554.016 0.20962
1064761 1.0128 - 59799.41 0.0763397
1054457 1.33034 SNIIn 59813.406 0.015643
1057122 1.01656 SNIIn 59718.066 0.0377754
1170691 1.04179 SNIb 60316.055 0.0370246
1172721 0.599784 SNIb 60023.402 0.192412
1115869 0.808942 SNII 60397.082 0.0884543
1161382 0.414417 SNIb 59584.168 0.171449
1161507 1.31938 SNIb 59883.039 0.0712716
2002380 1.2263 SLSNI 60535.391 0.0258196
1210527 0.464484 SNIc 60670.043 0.00838258
1060893 1.36829 SNIIn 59657.406 0.288925
1103619 0.809667 SNII 60630.254 0.0305734
1171778 0.6078 SNIb 59597.211 0.0754677
1220769 0.530072 - 59903.328 0.0441995
1271129 1.38188 SNIa 59805.293 0.0169591
1259024 0.940724 SNIa 60559.984 0.0404798
1169038 1.04952 SNIb 59942.277 0.0335253
1223186 0.45891 SNIc 60571.152 0.0200314
1107139 1.55978 SNII 59916.215 0.0212002
1051994 0.778581 SNIIn 60305.277 0.0568465
1156583 0.89389 SNIb 60178.254 0.024438
1156003 0.654254 SNIb 60620.332 0.432023
1216764 1.32543 - 59683.051 0.0732124
1262695 0.700272 - 60131.43 0.0201744
1061276 1.12517 - 60542.984 0.0871016
1167484 1.07 SNIb 59797.391 0.019688
2012224 2.66103 - 60222.238 0.021724
1051303 1.39768 SNIIn 60217.004 0.0674588
1268674 1.2147 SNIa 60078.289 0.241103
1062633 1.44843 SNIIn 60056.285 0.274526
1255144 1.21191 - 59721.426 0.0294851
1108740 1.50168 SNII 59926.156 0.0112424
1161498 0.831281 SNIb 60420.246 0.212848
2014899 1.93535 SLSNI 59623.379 0.0933623
1217560 1.23438 - 60460.188 0.12543
1165834 0.758711 SNIb 60558.406 0.0439367
1106303 0.75205 SNII 60365.031 0.262191
1265232 1.00443 SNIa 60250.316 0.782062
2013605 1.94698 SLSNI 60532.418 0.0448622
2012537 2.74623 SLSNI 60671.348 0.0506475
1258213 0.698809 - 59770.352 0.00543815
1104056 1.07418 SNII 60269.352 0.395301
1055767 1.31437 SNIIn 60103.434 0.0111647
1153176 0.600145 SNIb 59987.379 0.34303
1102645 1.27013 SNII 60621.324 1.48399
2012397 1.97286 SLSNI 60087.426 0.0765281
1208259 0.790902 - 59749.223 0.0192651
1172697 0.921787 SNIb 60217.355 0.35484
1160713 1.00138 SNIb 59679.219 0.35019
1114990 0.868927 SNII 59673.988 0.260244
1053253 0.820913 SNIIn 60215.32 0.0594515
2007443 1.57338 SLSNI 60580.391 0.327768
1205935 0.607137 SNIc 59768.094 0.342166
2014265 1.18351 SLSNI 59727.965 0.0462225
1168059 1.07356 SNIb 60206.363 0.099377
1270017 1.08283 - 59718.367 0.0383449
1166988 0.938023 SNIb 59772.16 0.312389
1110774 0.41525 SNII 59684.992 0.0257094
2005931 1.63591 SLSNI 60665.352 0.493413
2015900 1.24182 SLSNI 59773.301 0.00940521
1167608 0.475658 SNIb 60073.434 0.0329878
1257537 1.52632 - 60595.379 0.499628
2006310 1.72006 - 60444.426 0.0316165
1051712 1.25746 SNIIn 60331.367 0.0494345
1206069 1.05728 SNIc 59978.363 0.0759787
1223023 0.816518 SNIc 59917.109 0.0706336
1214063 0.989099 SNIc 60600.359 0.0363629
1160557 1.45302 SNIb 59943.121 0.0108095
1160493 1.33163 SNIb 59843.348 0.0594745
1164552 0.420281 SNIb 60362.027 0.616366
1272361 0.562679 SNIa 60569.348 0.0547645
1114730 1.55397 SNII 60268.32 0.111525
1054197 1.0966 SNIIn 60415.168 0.141865
1267098 0.683692 SNIa 60420.414 0.0293352
1069454 0.983184 SNIIn 59711.285 0.0584623
1207449 0.623806 SNIc 59902.309 0.333209
1059644 1.14994 - 59760.438 0.0117954
1167269 1.01581 SNIb 60334.172 0.059989
2001908 1.19972 - 60531.383 0.0513689
1267012 0.593199 SNIa 60414.109 0.0544808
2018855 1.68524 SLSNI 60042.273 0.0233219
1121459 0.667425 SNII 60359.391 0.243788
1257149 0.824786 SNIa 59770.281 0.0346429
1153016 1.40486 SNIb 60591.168 0.00772593
1068443 0.867294 - 59787.418 0.0143514
1216726 0.640975 SNIc 60661.352 0.0497058
1067833 1.30447 SNIIn 60059.422 0.0536109
1120127 1.4069 SNII 60198.41 0.0283793
1172684 1.13431 SNIb 60416.164 0.119236
1158093 0.707927 SNIb 60296.344 0.0497992
2007565 1.57667 - 59997.359 0.261457
1109529 1.0031 SNII 60305.117 0.950801
1111094 1.02395 SNII 59753.207 0.110242
1265552 0.535613 - 59968.371 0.169131
1160568 1.14012 - 60628.105 0.0161336
1269658 0.652921 SNIa 60118.383 0.0125738
1217200 1.24218 - 60338.035 0.0183354
1221901 1.03707 SNIc 60484.965 0.135273
1216431 1.0619 - 60506.434 0.0964031
1205004 0.611852 SNIc 59817.262 0.0147364
1255575 1.30416 SNIa 59991.035 0.0457149
1058055 0.64186 - 59698.344 0.0543041
1059508 1.34132 SNIIn 60400.0 0.0296829
1221561 0.983 - 59799.355 0.0304006
