#CID ZCMB Type MJD_TRIGGER MWEBV
1157188 1.36713 SNIb 59982.082 0.0412402
1272437 1.48509 SNIa 60301.242 0.0142266
1106083 0.568955 SNII 60019.289 0.112847
1268109 1.12071 SNIa 59729.312 0.0218534
1060482 0.938728 SNIIn 60653.043 0.237225
1054846 0.763989 SNIIn 60515.418 0.00868578
1166207 1.21096 SNIb 60199.992 0.0588087
1055843 0.932341 SNIIn 59614.293 0.0214387
2013440 0.644434 SLSNI 60124.211 0.0363323
1207784 1.1492 SNIc 59749.348 0.106175
1263139 1.08651 SNIa 60316.059 0.0135502
1269773 0.683893 SNIa 59862.367 0.679718
1272514 0.535498 SNIa 59850.355 0.277311
1166358 1.25957 SNIb 60054.121 0.0819066
1210682 1.46052 SNIc 59607.242 0.0862813
1217130 1.33299 SNIc 60185.016 0.1445
1172346 0.560713 SNIb 60355.027 0.150876
1110147 1.26904 SNII 59776.332 0.0395012
1168031 0.576567 SNIb 60673.297 0.0511493
1111149 1.16045 SNII 59948.289 0.316967
1115908 1.19626 SNII 59875.207 0.0378624
1064386 0.622329 SNIIn 60554.082 0.0471059
1157949 0.826079 SNIb 59979.371 0.109564
1105745 1.05891 SNII 59658.117 0.0460917
1172905 0.962475 SNIb 60012.355 0.340555
1165546 1.08278 SNIb 59872.363 0.171238
1062179 1.33038 SNIIn 60624.027 0.0081425
1269463 0.889956 SNIa 60264.027 0.012062
1171817 0.798082 SNIb 59660.16 0.0276664
1159344 0.905023 SNIb 59875.344 0.147566
2016754 2.66217 SLSNI 60302.27 0.161191
1211881 1.30552 SNIc 59941.309 0.0821686
1266480 1.63621 SNIa 60032.414 0.105574
1108810 1.08498 SNII 60133.441 0.0645329
1110251 1.13679 SNII 60100.953 0.0273725
1070206 0.683524 SNIIn 60140.066 0.0757347
2008447 2.07431 SLSNI 60061.371 0.015756
1266655 1.22843 SNIa 59590.328 1.75131
2008281 2.22642 SLSNI 60451.41 0.0375542
1053374 1.30126 SNIIn 59965.312 0.043612
1115360 1.09324 SNII 60492.332 0.0170001
1218118 1.00023 SNIc 60242.02 0.0248401
1062627 1.30369 SNIIn 60483.438 0.0123063
1257714 0.750932 SNIa 60572.004 0.0216596
2018245 0.99727 SLSNI 59709.223 0.191752
1053542 0.734938 SNIIn 60032.414 0.140748
2000200 0.846508 SLSNI 60539.227 0.016476
1270468 1.42772 SNIa 59783.434 0.00956051
1069096 1.15362 SNIIn 59709.23 0.215369
1051991 0.761839 SNIIn 60428.402 0.0114203
1204318 0.91361 SNIc 60483.391 0.00875733
1107314 0.900777 SNII 59797.426 0.0540289
2005655 2.34909 SLSNI 60633.176 0.0593389
1172831 0.764001 SNIb 60487.023 0.0213583
1109485 0.99295 SNII 60264.258 0.0830231
1054774 1.1906 SNIIn 59771.312 0.00958323
1208474 0.814636 SNIc 59785.43 0.027604
1258863 0.836278 SNIa 60417.035 1.64281
1273778 1.09221 SNIa 59855.066 0.0135137
