# CREATED_DATE: 2017-12-11T12:06:09.982Z
# MODIFIED_DATE: 2021-10-01T22:11:12.778Z
# STATUS: FollowupFinished
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: NGC 5254; (13:39:37.91, -11:29:37.90)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2017ivh
# RA: 204.901041666667
# DEC: -11.4821833333333
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-12-05T15:07:12Z
# REDSHIFT: 0.008
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2017-07-22T16:06:14Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.0643
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: False
# K2_MSG: 200 Success
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: 0.256
# SLUG: 2017ivh
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: []

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  58092.630	orange-ATLAS	29730.348  1423.898	16.317  0.052	None	Unknown	Unknown
OBS:	  58095.636	G	27542.287  5073.477	16.400  0.200	None	Gaia	Gaia-Photometric
OBS:	  58092.630	orange	29730.348  1423.898	16.317  0.052	None	ATLAS	HKO
OBS:	  58185.521	r	16143.586  297.376	16.980  0.020	None	Pan-STARRS1	GPC1
OBS:	  58469.505	g-ZTF	1479.518  327.181	19.575  0.240	None	P48	ZTF-Cam
OBS:	  58476.523	r-ZTF	4003.135  566.327	18.494  0.154	None	P48	ZTF-Cam
OBS:	  58487.528	r-ZTF	3765.306  324.256	18.560  0.094	None	P48	ZTF-Cam
OBS:	  58491.499	g-ZTF	1239.596  264.648	19.767  0.232	None	P48	ZTF-Cam
OBS:	  58494.504	g-ZTF	1130.524  226.889	19.867  0.218	None	P48	ZTF-Cam
OBS:	  58524.437	g-ZTF	1020.564  241.385	19.978  0.257	None	P48	ZTF-Cam
OBS:	  58524.462	r-ZTF	3581.292  303.131	18.615  0.092	None	P48	ZTF-Cam
OBS:	  58543.375	r-ZTF	3739.039  340.246	18.568  0.099	None	P48	ZTF-Cam
OBS:	  58103.482	B	8899.770  232.358	17.627  0.028	None	Siding_Spring_1m	Sinistro
OBS:	  58103.485	V	24275.516  353.929	16.537  0.016	None	Siding_Spring_1m	Sinistro
OBS:	  58103.489	gp	15917.091  189.149	16.995  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  58103.497	rp	28761.970  289.699	16.353  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  58103.501	ip	29543.145  392.207	16.324  0.014	None	Siding_Spring_1m	Sinistro
OBS:	  58107.076	B	8746.293  173.190	17.646  0.022	None	Siding_Spring_1m	Sinistro
OBS:	  58107.079	V	22787.710  289.664	16.606  0.014	None	Siding_Spring_1m	Sinistro
