# CREATED_DATE: 2018-04-21T19:06:38.158Z
# MODIFIED_DATE: 2019-06-24T18:05:54.732Z
# STATUS: FollowupFinished
# OBS_GROUP: ASAS-SN
# NON_DETECT_BAND: Leavitt - g
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: None
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2018aye
# RA: 269.418166666667
# DEC: 50.0388111111111
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2018-04-21T07:26:24Z
# REDSHIFT: 0.017
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2018-04-15T07:52:19Z
# NON_DETECT_LIMIT: 19.1
# MW_EBV: 0.0361
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# SLUG: 2018aye
# REAL_BOGUS_SCORE: None
# HAS_HST: None
# HAS_SPITZER: None
# HAS_CHANDRA: None
# TAGS: []

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  58229.310	g-Sloan	6309.573  0.000	18.000  0.000	None	Unknown	Unknown
OBS:	  58272.393	g-ZTF	7703.354  302.249	17.783  0.043	None	P48	ZTF-Cam
OBS:	  58272.447	r-ZTF	19047.592  328.063	16.800  0.019	None	P48	ZTF-Cam
OBS:	  58278.329	r-ZTF	14146.210  220.192	17.123  0.017	None	P48	ZTF-Cam
OBS:	  58278.385	g-ZTF	4977.372  162.285	18.257  0.035	None	P48	ZTF-Cam
OBS:	  58281.368	r-ZTF	12276.655  220.491	17.277  0.020	None	P48	ZTF-Cam
OBS:	  58281.390	g-ZTF	3997.976  166.807	18.495  0.045	None	P48	ZTF-Cam
OBS:	  58284.348	r-ZTF	10270.693  235.545	17.471  0.025	None	P48	ZTF-Cam
OBS:	  58284.373	g-ZTF	3335.802  237.803	18.692  0.077	None	P48	ZTF-Cam
OBS:	  58287.324	r-ZTF	9034.823  198.881	17.610  0.024	None	P48	ZTF-Cam
OBS:	  58290.363	r-ZTF	8082.027  207.683	17.731  0.028	None	P48	ZTF-Cam
OBS:	  58290.411	g-ZTF	3028.029  158.968	18.797  0.057	None	P48	ZTF-Cam
OBS:	  58293.306	r-ZTF	7414.465  302.524	17.825  0.044	None	P48	ZTF-Cam
OBS:	  58296.291	r-ZTF	6357.405  384.113	17.992  0.066	None	P48	ZTF-Cam
OBS:	  58296.451	g-ZTF	2706.700  499.839	18.919  0.200	None	P48	ZTF-Cam
OBS:	  58299.218	g-ZTF	1979.520  326.901	19.259  0.179	None	P48	ZTF-Cam
OBS:	  58299.389	r-ZTF	5727.963  406.753	18.105  0.077	None	P48	ZTF-Cam
OBS:	  58302.216	g-ZTF	2209.022  152.187	19.139  0.075	None	P48	ZTF-Cam
OBS:	  58302.348	r-ZTF	4807.954  263.040	18.295  0.059	None	P48	ZTF-Cam
OBS:	  58305.309	g-ZTF	2023.206  157.834	19.235  0.085	None	P48	ZTF-Cam
OBS:	  58305.348	r-ZTF	4725.847  244.620	18.314  0.056	None	P48	ZTF-Cam
OBS:	  58308.223	g-ZTF	1877.415  163.233	19.316  0.094	None	P48	ZTF-Cam
OBS:	  58308.347	r-ZTF	3632.789  584.867	18.599  0.175	None	P48	ZTF-Cam
OBS:	  58311.345	g-ZTF	1316.074  180.974	19.702  0.149	None	P48	ZTF-Cam
OBS:	  58317.344	g-ZTF	1973.877  163.075	19.262  0.090	None	P48	ZTF-Cam
OBS:	  58317.408	r-ZTF	2861.804  345.292	18.858  0.131	None	P48	ZTF-Cam
OBS:	  58320.414	g-ZTF	951.306  306.139	20.054  0.349	None	P48	ZTF-Cam
OBS:	  58323.238	r-ZTF	2885.095  338.005	18.850  0.127	None	P48	ZTF-Cam
OBS:	  58323.383	g-ZTF	1495.960  365.263	19.563  0.265	None	P48	ZTF-Cam
