# CREATED_DATE: 2018-03-26T05:57:06.616Z
# MODIFIED_DATE: 2021-10-01T22:11:12.907Z
# STATUS: FollowupFinished
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Leavitt - g
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: UGC 06216; (11:10:44.85, +04:50:47.22)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2017isj
# RA: 167.685666666667
# DEC: 4.84753055555556
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-12-02T08:17:47Z
# REDSHIFT: 0.019
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2017-11-29T10:54:53Z
# NON_DETECT_LIMIT: 18.7
# MW_EBV: 0.0524
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# SLUG: 2017isj
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [11]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  58089.346	g-Sloan	67297.666  5578.510	15.430  0.090	None	Unknown	Unknown
OBS:	  58129.625	Unknown	12589.254  115.951	17.250  0.010	None	Pan-STARRS1	GPC1
OBS:	  58494.455	r-ZTF	1424.819  323.877	19.616  0.247	None	P48	ZTF-Cam
OBS:	  58089.346	g	67297.666  5578.510	15.430  0.090	None	ASAS-SN	Leavitt
OBS:	  58113.623	U	5851.343  331.080	18.082  0.061	None	Swift	UVOT
OBS:	  58113.626	V	55019.298  1724.119	15.649  0.034	None	Swift	UVOT
OBS:	  58091.719	B	54375.314  1070.909	15.662  0.021	None	Siding_Spring_1m	Sinistro
OBS:	  58091.724	V	35683.768  35683.768	16.119  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58091.728	gp	57434.733  783.600	15.602  0.015	None	Siding_Spring_1m	Sinistro
OBS:	  58091.731	rp	21142.913  21142.913	16.687  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58091.735	ip	20315.603  20315.603	16.730  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58094.328	B	6565.322  6565.322	17.957  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58094.331	V	59568.950  548.172	15.563  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58094.335	gp	4238.201  4238.201	18.432  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58094.341	rp	4288.637  4288.637	18.419  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58095.315	B	9800.034  9800.034	17.522  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58095.323	V	59469.087  599.398	15.565  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  58095.328	gp	5947.673  5947.673	18.064  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58095.331	rp	54722.272  459.748	15.655  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58095.337	ip	6317.046  6317.046	17.999  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58099.697	B	45507.376  647.481	15.855  0.015	None	Siding_Spring_1m	Sinistro
OBS:	  58099.704	V	20968.700  20968.700	16.696  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58099.706	gp	52874.620  534.072	15.692  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  58099.715	rp	51796.573  546.733	15.714  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  58099.719	ip	13663.223  13663.223	17.161  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58100.692	B	38789.154  470.065	16.028  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  58100.698	V	53859.870  615.574	15.671  0.012	None	Siding_Spring_1m	Sinistro
OBS:	  58100.702	gp	45147.004  383.962	15.863  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58101.302	B	37181.632  376.250	16.074  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  58101.306	V	7201.715  7201.715	17.856  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58101.308	gp	39919.953  639.657	15.997  0.017	None	Siding_Spring_1m	Sinistro
