# CREATED_DATE: 2018-03-19T18:59:11.451Z
# MODIFIED_DATE: 2021-10-01T22:11:18.259Z
# STATUS: FollowupFinished
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Unknown - Clear
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: NGC 0474; (01:20:06.69, +03:24:55.44)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: Foundation
# NAME: 2017fgc
# RA: 20.0601666666667
# DEC: 3.40276666666667
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-07-11T00:00:00Z
# REDSHIFT: 0.008
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2017-07-08T06:59:02Z
# NON_DETECT_LIMIT: 19.495
# MW_EBV: 0.0294319926947355
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: 
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# SLUG: 2017fgc
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: True
# HAS_CHANDRA: True
# TAGS: [11, 13, 46, 77]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  57943.290	Unknown	11760.885  1083.218	17.324  0.100	None	Unknown	Unknown
OBS:	  57945.758	B	10795.348  10795.348	17.417  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57945.766	V	9302.008  9302.008	17.579  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57945.768	gp	5412.149  5412.149	18.167  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57945.774	rp	3869.150  3869.150	18.531  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57945.778	ip	5485.166  5485.166	18.152  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57946.101	B	22294.668  22294.668	16.629  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57946.107	V	19683.663  19683.663	16.765  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57946.114	gp	11018.154  11018.154	17.395  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57946.117	rp	13194.072  13194.072	17.199  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57946.122	ip	16187.191  16187.191	16.977  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57947.091	B	9932.764  9932.764	17.507  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57947.096	V	11035.895  11035.895	17.393  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57947.100	gp	6938.848  6938.848	17.897  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57947.102	rp	7211.174  7211.174	17.855  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57947.105	ip	8148.108  8148.108	17.722  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57948.154	B	7779.069  7779.069	17.773  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57948.158	V	8719.995  8719.995	17.649  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57948.160	gp	5778.902  5778.902	18.095  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57948.165	rp	4607.096  4607.096	18.341  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57948.168	ip	5710.817  5710.817	18.108  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57954.712	B	44952.889  44952.889	15.868  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57954.714	V	40492.114  40492.114	15.982  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57954.719	gp	58952.587  58952.587	15.574  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57954.721	rp	32361.842  32361.842	16.225  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57954.726	ip	72997.031  72997.031	15.342  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57955.804	B	8752.453  8752.453	17.645  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57955.808	V	9086.517  9086.517	17.604  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57955.812	gp	6109.953  6109.953	18.035  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57955.816	rp	9133.366  9133.366	17.598  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57955.819	ip	10983.579  10983.579	17.398  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57956.805	B	2755.249  2755.249	18.900  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57956.809	V	3521.223  3521.223	18.633  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57956.810	gp	2282.943  2282.943	19.104  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57956.816	rp	2869.061  2869.061	18.856  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57956.819	ip	3657.510  3657.510	18.592  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57957.780	B	6278.974  6278.974	18.005  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57957.784	V	7597.269  7597.269	17.798  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57957.788	gp	4144.078  4144.078	18.456  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57957.792	rp	5899.179  5899.179	18.073  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57957.795	ip	10222.071  10222.071	17.476  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57958.084	B	10407.439  10407.439	17.457  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57958.088	V	10776.547  10776.547	17.419  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57958.092	rp	7654.993  7654.993	17.790  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57958.094	ip	10052.111  10052.111	17.494  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57958.120	B	7368.800  7368.800	17.832  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57958.122	V	8233.798  8233.798	17.711  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57958.125	gp	5070.408  5070.408	18.237  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57958.129	rp	7010.810  7010.810	17.886  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57958.132	ip	10116.496  10116.496	17.487  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57959.809	B	11225.345  11225.345	17.375  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57959.813	V	12167.216  12167.216	17.287  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57959.818	gp	20553.290  20553.290	16.718  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57959.820	rp	14707.799  14707.799	17.081  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57959.823	ip	60685.386  60685.386	15.542  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57961.800	B	8065.363  8065.363	17.733  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57961.804	V	10466.077  10466.077	17.451  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57961.808	gp	6431.812  6431.812	17.979  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57961.810	rp	7552.616  7552.616	17.805  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57961.814	ip	53169.676  53169.676	15.686  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57962.082	B	10031.829  10031.829	17.497  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57962.085	V	9824.847  9824.847	17.519  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57962.088	gp	4459.771  4459.771	18.377  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57962.092	rp	4186.143  4186.143	18.445  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57962.097	ip	9299.726  9299.726	17.579  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57963.166	B	4537.676  4537.676	18.358  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57963.170	V	4876.082  4876.082	18.280  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57963.171	gp	2444.749  2444.749	19.029  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57963.177	rp	2917.925  2917.925	18.837  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57963.180	ip	5043.313  5043.313	18.243  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57965.043	B	8972.579  8972.579	17.618  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57965.047	V	10615.966  10615.966	17.435  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57965.049	gp	6939.795  6939.795	17.897  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57965.053	rp	5524.892  5524.892	18.144  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57965.056	ip	10310.360  10310.360	17.467  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57965.800	B	7933.750  7933.750	17.751  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57965.803	V	16038.168  16038.168	16.987  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57965.807	gp	11338.158  11338.158	17.364  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57965.811	rp	13587.836  13587.836	17.167  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57965.816	ip	15502.863  15502.863	17.024  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57966.813	B	10388.150  10388.150	17.459  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57966.818	V	9461.290  9461.290	17.560  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57966.821	gp	5669.911  5669.911	18.116  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57966.824	rp	8312.780  8312.780	17.701  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57966.825	ip	11040.499  11040.499	17.393  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57967.427	B	7702.282  7702.282	17.783  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57967.430	V	12245.049  12245.049	17.280  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57967.431	gp	6805.573  6805.573	17.918  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57967.435	rp	10554.451  10554.451	17.441  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57967.437	ip	17437.186  17437.186	16.896  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57969.370	rp	6179.456  6179.456	18.023  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57969.374	ip	7409.790  7409.790	17.825  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57969.397	B	5933.842  5933.842	18.067  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57969.398	V	7347.252  7347.252	17.835  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57969.402	gp	3507.313  3507.313	18.638  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57969.404	rp	4508.709  4508.709	18.365  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57969.408	ip	6211.597  6211.597	18.017  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57970.394	B	14288.348  14288.348	17.113  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57970.397	V	18211.881  18211.881	16.849  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57970.400	gp	9113.224  9113.224	17.601  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57970.403	rp	8622.079  8622.079	17.661  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57970.407	ip	12167.907  12167.907	17.287  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57971.280	B	11481.481  11481.481	17.350  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57971.282	V	11557.880  11557.880	17.343  1.086	None	Siding_Spring_1m	Sinistro
