# CREATED_DATE: 2018-03-19T18:43:41.440Z
# MODIFIED_DATE: 2021-10-01T22:11:20.607Z
# STATUS: FollowupFinished
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Unknown - Clear
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: NGC 5643; (14:32:40.74, -44:10:27.88)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: Foundation
# NAME: 2017cbv
# RA: 218.143416666667
# DEC: -44.1340944444444
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-03-10T04:06:14Z
# REDSHIFT: 0.003999
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2017-02-17T06:02:52Z
# NON_DETECT_LIMIT: 20.3315
# MW_EBV: 0.1452
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: 
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# SLUG: 2017cbv
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [6, 10, 11, 13, 47]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  57822.136	Unknown	38190.909  3517.513	16.045  0.100	None	Unknown	Unknown
OBS:	  57445.152	UVW1	13.741  4.805	24.655  0.380	None	Swift	UVOT
OBS:	  57822.522	UVW1	7130.271  217.450	17.867  0.033	None	Swift	UVOT
OBS:	  57822.524	U	38474.791  546.390	16.037  0.015	None	Swift	UVOT
OBS:	  57822.525	B	74694.116  920.505	15.317  0.013	None	Swift	UVOT
OBS:	  57822.526	UVW2	1536.335  69.466	19.534  0.049	None	Swift	UVOT
OBS:	  57822.529	V	73846.629  1534.642	15.329  0.023	None	Swift	UVOT
OBS:	  57822.530	UVM2	669.810  47.901	20.435  0.078	None	Swift	UVOT
OBS:	  57824.061	UVW1	13657.593  349.723	17.162  0.028	None	Swift	UVOT
OBS:	  57824.063	U	79616.707  1009.673	15.247  0.014	None	Swift	UVOT
OBS:	  57824.064	B	204751.092  1960.108	14.222  0.010	None	Swift	UVOT
OBS:	  57824.065	UVW2	2466.518  100.808	19.020  0.044	None	Swift	UVOT
OBS:	  57824.069	V	208018.602  3057.083	14.205  0.016	None	Swift	UVOT
OBS:	  57824.070	UVM2	816.144  49.014	20.221  0.065	None	Swift	UVOT
OBS:	  57824.183	UVW1	14439.726  107.267	17.101  0.008	None	Swift	UVOT
OBS:	  57824.209	UVW2	2620.418  130.174	18.954  0.054	None	Swift	UVOT
OBS:	  57826.125	UVW1	20145.053  291.487	16.740  0.016	None	Swift	UVOT
OBS:	  57826.127	U	122375.249  1121.167	14.781  0.010	None	Swift	UVOT
OBS:	  57826.128	B	402949.391  2837.736	13.487  0.008	None	Swift	UVOT
OBS:	  57826.129	UVW2	4223.035  119.144	18.436  0.031	None	Swift	UVOT
OBS:	  57826.251	V	400222.681  7075.879	13.494  0.019	None	Swift	UVOT
