# CREATED_DATE: 2018-04-04T05:48:19.507Z
# MODIFIED_DATE: 2021-10-01T22:11:01.482Z
# STATUS: NeedsTemplate
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Paczynski - g
# BEST_SPEC_CLASS: SN Ia-91T-like
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: ESO 268- G 037; (12:45:05.21, -44:00:19.58)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2018apo
# RA: 191.272083333333
# DEC: -44.0064166666667
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2018-04-02T20:52:48Z
# REDSHIFT: 0.018
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2018-03-31T06:27:21Z
# NON_DETECT_LIMIT: 16.7
# MW_EBV: 0.0842
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia-91T-like
# POINT_SOURCE_PROBABILITY: None
# SLUG: 2018apo
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [16]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  58210.870	g-Sloan	39810.717  0.000	16.000  0.000	None	Unknown	Unknown
OBS:	  58210.870	Unknown	39810.717  0.000	16.000  0.000	None	ASAS-SN	Payne-Gaposchkin
OBS:	  58117.628	orange	4888.774  778.972	18.277  0.173	None	ATLAS	HKO
OBS:	  58225.411	cyan	75023.963  12990.729	15.312  0.188	None	ATLAS	HKO
OBS:	  58271.138	G	13304.544  2450.788	17.190  0.200	None	Gaia	Gaia-Photometric
OBS:	  58217.344	gp	72036.646  384.411	15.357  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  58217.348	rp	63380.559  332.835	15.495  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  58217.349	ip	55512.841  575.415	15.639  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  58220.057	gp	80805.679  430.455	15.231  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  58220.061	rp	69354.054  421.474	15.398  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  58220.063	ip	54817.291  519.500	15.652  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58223.121	gp	79654.849  361.995	15.247  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  58223.123	rp	77646.979  407.581	15.275  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  58223.126	ip	54085.879  415.524	15.667  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58226.639	gp	77888.393  1396.945	15.272  0.019	None	Siding_Spring_1m	Sinistro
OBS:	  58226.642	rp	74698.440  2567.841	15.317  0.037	None	Siding_Spring_1m	Sinistro
OBS:	  58226.644	ip	38575.015  4551.486	16.034  0.128	None	Siding_Spring_1m	Sinistro
OBS:	  58229.571	gp	75623.624  465.058	15.303  0.007	None	Siding_Spring_1m	Sinistro
