# CREATED_DATE: 2018-07-10T12:57:12.018Z
# MODIFIED_DATE: 2021-10-01T22:10:29.314Z
# STATUS: NeedsTemplate
# OBS_GROUP: BOSS
# NON_DETECT_BAND: ACAM1 - orange
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: NGC 5468; (14:06:34.89, -05:27:11.20)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2018dfg
# RA: 211.644583333333
# DEC: -5.45080555555556
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2018-07-10T10:24:54Z
# REDSHIFT: 0.0095
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2018-07-01T09:21:36Z
# NON_DETECT_LIMIT: 18.77
# MW_EBV: 0.0212
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: 
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# SLUG: 2018dfg
# REAL_BOGUS_SCORE: None
# HAS_HST: None
# HAS_SPITZER: None
# HAS_CHANDRA: None
# TAGS: [3, 10, 19, 77]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  58310.341	cyan	6723.571  718.346	17.931  0.116	None	ATLAS	HKO
OBS:	  58243.431	Unknown	398107170553498590913966427574917309153562754809856.000  -36300355198688754978099429916451314029168728679120896.000	-99.000  -99.000	None	Unknown	Unknown
OBS:	  58309.434	Unknown	398107170553498590913966427574917309153562754809856.000  -36300355198688754978099429916451314029168728679120896.000	-99.000  -99.000	None	Unknown	Unknown
OBS:	  58311.230	V	865.664  865.664	20.157  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58311.234	r	588.700  588.700	20.575  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58316.214	B	521.693  521.693	20.706  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58316.229	i	665.108  665.108	20.443  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58323.198	B	2017.567  2017.567	19.238  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58323.200	V	2179.915  2179.915	19.154  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58323.202	r	1198.080  1198.080	19.804  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58323.204	i	1253.236  1253.236	19.755  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58326.196	V	4632.152  4632.152	18.336  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58554.419	r	52761.186  52761.186	15.694  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58554.427	i	1719.788  1719.788	19.411  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58574.471	r	3071.756  3071.756	18.782  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58574.478	i	1377.558  1377.558	19.652  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58586.448	r	1253.781  1253.781	19.754  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58586.455	i	1447.386  1447.386	19.599  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58591.424	r	1019.243  1019.243	19.979  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58591.431	i	3327.311  3327.311	18.695  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58606.359	Unknown	752.134  56.409	20.309  0.081	None	Nickel	Direct/2Kx2K
OBS:	  58606.359	r	752.134  56.409	20.309  0.081	None	Nickel	Direct/2Kx2K
OBS:	  58606.366	i	5089.151  5089.151	18.233  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58612.334	r	3279.850  3279.850	18.710  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58612.341	i	5768.923  5768.923	18.097  1.086	None	Nickel	Direct/2Kx2K
OBS:	  58635.298	r	1679.309  559.770	19.437  0.362	None	Nickel	Direct/2Kx2K
OBS:	  58635.305	i	2450.030  816.677	19.027  0.362	None	Nickel	Direct/2Kx2K
OBS:	  58310.373	rp	7697.987  131.351	17.784  0.019	None	Siding_Spring_1m	Sinistro
OBS:	  58311.385	B	766.551  766.551	20.289  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58311.388	V	1229.045  1229.045	19.776  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58311.392	gp	650.968  650.968	20.466  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58311.398	rp	1140.003  1140.003	19.858  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58311.404	ip	1389.746  1389.746	19.643  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58314.000	B	621.161  621.161	20.517  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58314.008	V	888.150  888.150	20.129  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58314.013	gp	468.917  468.917	20.822  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58314.016	rp	591.377  591.377	20.570  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58314.020	ip	989.862  989.862	20.011  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58317.376	B	692.778  692.778	20.399  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58317.383	V	927.778  927.778	20.081  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58317.385	gp	542.531  542.531	20.664  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58317.393	rp	814.429  814.429	20.223  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58317.397	ip	1088.500  1088.500	19.908  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58321.781	B	4008.824  4008.824	18.492  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58321.789	V	5701.598  5701.598	18.110  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58321.791	gp	3493.736  3493.736	18.642  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58321.797	rp	4722.077  4722.077	18.315  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58321.803	ip	6492.470  6492.470	17.969  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58323.431	B	1072.760  1072.760	19.924  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58323.437	V	1448.663  1448.663	19.598  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58323.453	B	1135.292  1135.292	19.862  1.086	None	Siding_Spring_1m	Sinistro
