# CREATED_DATE: 2017-12-13T01:06:13.047Z
# MODIFIED_DATE: 2021-10-01T22:11:12.386Z
# STATUS: FollowupFinished
# OBS_GROUP: Unknown
# NON_DETECT_BAND: None
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: SDSS J084241.66+135806.3; (08:42:41.67, +13:58:06.38)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2017iws
# RA: 130.673458333333
# DEC: 13.9677972222222
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-12-12T12:40:19Z
# REDSHIFT: 0.091
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: None
# NON_DETECT_LIMIT: None
# MW_EBV: 0.0264
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: True
# K2_MSG: 200 Success
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: 0.061
# SLUG: 2017iws
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [4, 11, 77]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  58099.528	g-Sloan	2857.591  236.874	18.860  0.090	None	Unknown	Unknown
OBS:	  58963.151	g-ZTF	1145.365  174.620	19.853  0.166	None	P48	ZTF-Cam
OBS:	  58981.163	g-ZTF	1686.836  264.599	19.432  0.170	None	P48	ZTF-Cam
OBS:	  59255.296	r-ZTF	2804.091  474.412	18.881  0.184	None	P48	ZTF-Cam
OBS:	  59262.297	g-ZTF	1033.680  164.767	19.964  0.173	None	P48	ZTF-Cam
OBS:	  58099.528	g	2857.591  236.874	18.860  0.090	None	Pan-STARRS1	GPC1
OBS:	  58102.443	B	7392.396  7392.396	17.828  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58102.455	ip	19208.492  19208.492	16.791  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58104.473	B	3448.272  3448.272	18.656  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58104.480	V	3086.494  227.926	18.776  0.080	None	Siding_Spring_1m	Sinistro
OBS:	  58104.487	gp	3033.068  3033.068	18.795  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58104.494	rp	3999.403  3999.403	18.495  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58104.500	ip	4674.494  4674.494	18.326  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58108.193	B	447.705  447.705	20.873  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58108.201	V	3582.001  120.011	18.615  0.036	None	Siding_Spring_1m	Sinistro
OBS:	  58108.211	gp	3327.288  84.231	18.695  0.027	None	Siding_Spring_1m	Sinistro
OBS:	  58108.215	rp	3520.074  101.560	18.634  0.031	None	Siding_Spring_1m	Sinistro
OBS:	  58108.224	ip	608.645  608.645	20.539  1.086	None	Siding_Spring_1m	Sinistro
