# CREATED_DATE: 2018-04-27T13:03:09.169Z
# MODIFIED_DATE: 2019-10-26T17:12:04.585Z
# STATUS: NeedsTemplate
# OBS_GROUP: ASAS-SN
# NON_DETECT_BAND: Paczynski - g
# BEST_SPEC_CLASS: AGN
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: None
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2018bcb
# RA: 340.928791666667
# DEC: -16.9855694444444
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2018-04-27T02:52:48Z
# REDSHIFT: 0.12
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2018-04-09T09:50:24Z
# NON_DETECT_LIMIT: 16.9
# MW_EBV: 0.0307
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: AGN
# POINT_SOURCE_PROBABILITY: 0.01
# SLUG: 2018bcb
# REAL_BOGUS_SCORE: None
# HAS_HST: None
# HAS_SPITZER: None
# HAS_CHANDRA: None
# TAGS: [6]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  58235.120	g-Sloan	10000.000  0.000	17.500  0.000	None	Unknown	Unknown
OBS:	  58266.567	orange-ATLAS	20625.287  3552.363	16.714  0.187	None	ATLAS	HKO
OBS:	  58235.120	g-Sloan	10000.000  0.000	17.500  0.000	None	ASAS-SN	Payne-Gaposchkin
OBS:	  58266.567	orange	20625.287  3552.363	16.714  0.187	None	ATLAS	HKO
OBS:	  58235.120	Unknown	10000.000  0.000	17.500  0.000	None	ASAS-SN	Payne-Gaposchkin
OBS:	  58336.489	i	7311.391  269.362	17.840  0.040	None	Pan-STARRS1	GPC1
OBS:	  58249.806	UVW1	13533.815  383.932	17.171  0.031	None	Swift	UVOT
OBS:	  58249.808	U	14528.914  526.191	17.094  0.039	None	Swift	UVOT
OBS:	  58249.809	B	17729.219  814.337	16.878  0.050	None	Swift	UVOT
OBS:	  58249.809	UVW2	13203.725  282.186	17.198  0.023	None	Swift	UVOT
OBS:	  58249.812	V	27894.881  1726.464	16.386  0.067	None	Swift	UVOT
OBS:	  58249.812	UVM2	13381.592  284.040	17.184  0.023	None	Swift	UVOT
OBS:	  58253.377	UVW2	13504.238  226.715	17.174  0.018	None	Swift	UVOT
OBS:	  58255.384	UVW1	13217.135  368.268	17.197  0.030	None	Swift	UVOT
OBS:	  58255.386	U	13719.698  509.865	17.157  0.040	None	Swift	UVOT
OBS:	  58255.387	B	17761.858  794.053	16.876  0.049	None	Swift	UVOT
OBS:	  58255.387	UVW2	13587.943  279.653	17.167  0.022	None	Swift	UVOT
OBS:	  58255.391	UVM2	13803.200  271.510	17.150  0.021	None	Swift	UVOT
OBS:	  58257.113	UVW1	13331.153  388.209	17.188  0.032	None	Swift	UVOT
OBS:	  58257.115	U	14212.125  538.786	17.118  0.041	None	Swift	UVOT
