# CREATED_DATE: 2018-03-19T18:51:40.018Z
# MODIFIED_DATE: 2021-10-01T22:11:19.501Z
# STATUS: FollowupFinished
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: NGC 6384; (17:32:24.30, +07:03:37.01)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: Foundation
# NAME: 2017drh
# RA: 263.108541666667
# DEC: 7.0632
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-05-03T13:55:12Z
# REDSHIFT: 0.005554
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2017-04-30T11:58:33Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.1063
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: 
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: 0.177
# SLUG: 2017drh
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [3, 11, 13, 19]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  57972.358	G	4017.908  740.126	18.490  0.200	None	Gaia	Gaia-Photometric
OBS:	  57973.314	i	6081.350  56.011	18.040  0.010	None	Pan-STARRS1	GPC1
OBS:	  57876.364	Unknown	6695.145  616.646	17.936  0.100	None	Unknown	Unknown
OBS:	  57894.505	Unknown	69183.097  0.000	15.400  0.000	None	Unknown	Unknown
OBS:	  57877.292	B	1849.556  102.296	19.332  0.060	None	Siding_Spring_1m	Sinistro
OBS:	  57877.295	V	6219.830  155.266	18.015  0.027	None	Siding_Spring_1m	Sinistro
OBS:	  57877.299	gp	1730.023  1730.023	19.405  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57877.307	rp	10709.693  149.472	17.426  0.015	None	Siding_Spring_1m	Sinistro
OBS:	  57877.309	ip	4679.243  4679.243	18.325  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57877.788	B	14249.625  14249.625	17.115  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57878.281	B	2754.105  180.254	18.900  0.071	None	Siding_Spring_1m	Sinistro
OBS:	  57878.289	V	9168.787  229.151	17.594  0.027	None	Siding_Spring_1m	Sinistro
OBS:	  57878.294	gp	4777.520  128.095	18.302  0.029	None	Siding_Spring_1m	Sinistro
OBS:	  57878.299	rp	16352.342  183.905	16.967  0.012	None	Siding_Spring_1m	Sinistro
OBS:	  57878.301	ip	23602.132  265.262	16.568  0.012	None	Siding_Spring_1m	Sinistro
OBS:	  57878.436	B	3084.754  102.553	18.777  0.036	None	Siding_Spring_1m	Sinistro
OBS:	  57878.442	V	9969.564  166.738	17.504  0.018	None	Siding_Spring_1m	Sinistro
OBS:	  57878.449	gp	5350.256  79.575	18.179  0.016	None	Siding_Spring_1m	Sinistro
OBS:	  57878.452	rp	17539.302  165.023	16.890  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57878.456	ip	25545.725  240.392	16.482  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57878.621	B	3397.553  184.874	18.672  0.059	None	Siding_Spring_1m	Sinistro
OBS:	  57878.628	V	10810.427  270.299	17.416  0.027	None	Siding_Spring_1m	Sinistro
OBS:	  57878.633	gp	5603.345  155.440	18.129  0.030	None	Siding_Spring_1m	Sinistro
OBS:	  57878.636	rp	17976.552  251.902	16.863  0.015	None	Siding_Spring_1m	Sinistro
OBS:	  57878.642	ip	26182.311  342.847	16.455  0.014	None	Siding_Spring_1m	Sinistro
OBS:	  57878.966	B	3591.754  188.847	18.612  0.057	None	Siding_Spring_1m	Sinistro
OBS:	  57878.971	V	11991.991  277.933	17.303  0.025	None	Siding_Spring_1m	Sinistro
OBS:	  57878.976	gp	6667.069  166.654	17.940  0.027	None	Siding_Spring_1m	Sinistro
OBS:	  57878.979	rp	21179.840  297.299	16.685  0.015	None	Siding_Spring_1m	Sinistro
OBS:	  57878.984	ip	30684.860  402.348	16.283  0.014	None	Siding_Spring_1m	Sinistro
OBS:	  57879.007	B	3665.926  226.485	18.590  0.067	None	Siding_Spring_1m	Sinistro
OBS:	  57879.009	V	12248.412  283.817	17.280  0.025	None	Siding_Spring_1m	Sinistro
OBS:	  57879.011	rp	21603.042  263.365	16.664  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  57879.013	ip	30749.495  346.647	16.281  0.012	None	Siding_Spring_1m	Sinistro
OBS:	  57879.092	B	3678.415  173.136	18.585  0.051	None	Siding_Spring_1m	Sinistro
OBS:	  57879.098	V	11731.016  315.143	17.326  0.029	None	Siding_Spring_1m	Sinistro
OBS:	  57879.102	gp	6679.759  124.064	17.938  0.020	None	Siding_Spring_1m	Sinistro
OBS:	  57879.107	rp	5358.737  5358.737	18.177  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57879.111	ip	6442.428  6442.428	17.977  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57879.278	B	3898.631  154.774	18.522  0.043	None	Siding_Spring_1m	Sinistro
OBS:	  57879.283	V	12812.845  214.604	17.231  0.018	None	Siding_Spring_1m	Sinistro
OBS:	  57879.287	gp	7211.296  114.057	17.855  0.017	None	Siding_Spring_1m	Sinistro
OBS:	  57879.295	rp	23808.372  203.465	16.558  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57879.299	ip	34226.419  292.543	16.164  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57879.961	B	5195.257  187.261	18.211  0.039	None	Siding_Spring_1m	Sinistro
OBS:	  57879.968	V	15548.516  275.014	17.021  0.019	None	Siding_Spring_1m	Sinistro
OBS:	  57879.973	gp	8801.322  147.499	17.638  0.018	None	Siding_Spring_1m	Sinistro
OBS:	  57879.976	rp	28425.785  243.920	16.365  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57879.980	ip	41979.361  359.913	15.943  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57880.095	B	5059.997  98.651	18.240  0.021	None	Siding_Spring_1m	Sinistro
OBS:	  57880.098	V	16695.687  188.304	16.944  0.012	None	Siding_Spring_1m	Sinistro
OBS:	  57880.102	gp	8901.091  92.056	17.626  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  57880.107	rp	29663.470  200.348	16.320  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57880.111	ip	44032.525  258.544	15.891  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57880.599	B	5666.744  319.020	18.117  0.061	None	Siding_Spring_1m	Sinistro
OBS:	  57880.605	V	17762.113  527.041	16.876  0.032	None	Siding_Spring_1m	Sinistro
OBS:	  57880.609	gp	9199.788  314.906	17.591  0.037	None	Siding_Spring_1m	Sinistro
OBS:	  57880.615	rp	33477.164  442.491	16.188  0.014	None	Siding_Spring_1m	Sinistro
OBS:	  57880.620	ip	48435.832  552.473	15.787  0.012	None	Siding_Spring_1m	Sinistro
OBS:	  57880.758	B	6141.141  164.953	18.029  0.029	None	Siding_Spring_1m	Sinistro
OBS:	  57880.766	V	19346.036  289.574	16.784  0.016	None	Siding_Spring_1m	Sinistro
OBS:	  57880.768	gp	10503.317  137.616	17.447  0.014	None	Siding_Spring_1m	Sinistro
OBS:	  57880.774	rp	12455.164  12455.164	17.262  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57880.778	ip	17692.905  17692.905	16.881  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57880.799	B	5843.635  280.603	18.083  0.052	None	Siding_Spring_1m	Sinistro
OBS:	  57880.801	V	20008.002  391.467	16.747  0.021	None	Siding_Spring_1m	Sinistro
OBS:	  57880.803	rp	19623.451  19623.451	16.768  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57880.805	ip	26028.749  26028.749	16.461  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57880.958	B	6976.447  213.184	17.891  0.033	None	Siding_Spring_1m	Sinistro
OBS:	  57880.964	V	20564.460  289.368	16.717  0.015	None	Siding_Spring_1m	Sinistro
OBS:	  57880.968	gp	11591.902  173.371	17.339  0.016	None	Siding_Spring_1m	Sinistro
OBS:	  57880.973	rp	37442.678  222.129	16.067  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57880.977	ip	54298.739  319.181	15.663  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57881.107	B	6537.478  139.589	17.961  0.023	None	Siding_Spring_1m	Sinistro
OBS:	  57881.114	V	21074.225  218.860	16.690  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  57881.119	gp	11555.773  109.009	17.343  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57881.124	rp	38121.784  223.203	16.047  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57881.126	ip	55983.592  327.819	15.630  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57881.597	B	7622.601  310.128	17.794  0.044	None	Siding_Spring_1m	Sinistro
OBS:	  57881.603	V	22436.386  316.162	16.623  0.015	None	Siding_Spring_1m	Sinistro
OBS:	  57881.609	gp	12762.192  214.444	17.235  0.018	None	Siding_Spring_1m	Sinistro
OBS:	  57881.612	rp	42253.281  289.926	15.935  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57881.616	ip	61263.393  365.560	15.532  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57882.050	B	8403.519  234.020	17.688  0.030	None	Siding_Spring_1m	Sinistro
OBS:	  57882.056	V	25644.934  315.917	16.477  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  57882.060	gp	14678.439  206.992	17.083  0.015	None	Siding_Spring_1m	Sinistro
OBS:	  57882.066	ip	67785.335  348.063	15.423  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57882.217	B	69136.623  69136.623	15.401  1.086	None	Siding_Spring_1m	Sinistro
