VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  58153.490	V-Johnson	87096.359  0.000	15.150  0.000	None	Unknown	Unknown
OBS:	  55206.460	r	-23.393  44.358	nan  -2.059	None	Pan-STARRS1	GPC1
OBS:	  55219.440	r	-37.029  48.657	nan  -1.427	None	Pan-STARRS1	GPC1
OBS:	  55222.390	r	-8.370  51.767	nan  -6.715	None	Pan-STARRS1	GPC1
OBS:	  55224.410	r	256.170  102.046	21.479  0.433	None	Pan-STARRS1	GPC1
OBS:	  55306.280	y	-169.877  524.845	nan  -3.354	None	Pan-STARRS1	GPC1
OBS:	  55548.660	z	96.193  147.738	22.542  1.668	None	Pan-STARRS1	GPC1
OBS:	  55903.490	z	-216.409  122.873	nan  -0.616	None	Pan-STARRS1	GPC1
OBS:	  55945.360	g	-19.838  66.096	nan  -3.617	None	Pan-STARRS1	GPC1
OBS:	  55952.520	i	31.856  53.159	23.742  1.812	None	Pan-STARRS1	GPC1
OBS:	  55958.550	g	-51.713  64.958	nan  -1.364	None	Pan-STARRS1	GPC1
OBS:	  55983.290	i	-64.226  67.803	nan  -1.146	None	Pan-STARRS1	GPC1
OBS:	  56231.640	z	53.945  100.853	23.170  2.030	None	Pan-STARRS1	GPC1
OBS:	  56232.620	i	-13.581  78.455	nan  -6.272	None	Pan-STARRS1	GPC1
OBS:	  56282.670	y	-363.680  561.748	nan  -1.677	None	Pan-STARRS1	GPC1
OBS:	  56315.560	r	-41.710  65.713	nan  -1.711	None	Pan-STARRS1	GPC1
OBS:	  56615.570	y	3.404  206.359	26.170  65.814	None	Pan-STARRS1	GPC1
OBS:	  56615.600	z	38.399  118.395	23.539  3.348	None	Pan-STARRS1	GPC1
OBS:	  56993.550	i	38.836  69.554	23.527  1.945	None	Pan-STARRS1	GPC1
OBS:	  57008.670	y	-102.230  342.661	nan  -3.639	None	Pan-STARRS1	GPC1
OBS:	  57009.670	y	378.858  384.704	21.054  1.102	None	Pan-STARRS1	GPC1
OBS:	  58090.550	i	-4.564  79.144	nan  -18.828	None	Pan-STARRS1	GPC1
OBS:	  58091.530	i	-39.474  84.657	nan  -2.328	None	Pan-STARRS1	GPC1
OBS:	  58097.500	i	11.444  100.926	24.854  9.576	None	Pan-STARRS1	GPC1
OBS:	  58097.510	r	136.734  98.115	22.160  0.779	None	Pan-STARRS1	GPC1
OBS:	  58098.520	g	43.062  77.496	23.415  1.954	None	Pan-STARRS1	GPC1
OBS:	  58098.530	r	-113.683  88.979	nan  -0.850	None	Pan-STARRS1	GPC1
OBS:	  58099.530	g	9.597  62.784	25.045  7.103	None	Pan-STARRS1	GPC1
OBS:	  58099.540	i	-42.659  61.411	nan  -1.563	None	Pan-STARRS1	GPC1
OBS:	  58099.640	g	184.335  93.017	21.836  0.548	None	Pan-STARRS1	GPC1
OBS:	  58100.520	g	-43.032  62.146	nan  -1.568	None	Pan-STARRS1	GPC1
OBS:	  58100.530	r	22.278  71.330	24.130  3.476	None	Pan-STARRS1	GPC1
OBS:	  58101.530	g	-88.154  67.533	nan  -0.832	None	Pan-STARRS1	GPC1
OBS:	  58101.540	i	9.281  53.661	25.081  6.277	None	Pan-STARRS1	GPC1
