# CREATED_DATE: 2017-12-08T04:36:09.932Z
# MODIFIED_DATE: 2021-10-01T22:11:12.671Z
# STATUS: NeedsTemplate
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN Ic-BL
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: LCRS B110709.2-121854; (11:09:39.68, -12:35:11.51)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2017iuk
# RA: 167.414666666667
# DEC: -12.5884277777778
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-12-07T06:05:00Z
# REDSHIFT: 0.0368
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2017-12-02T21:44:38Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.0434
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: False
# K2_MSG: 200 Success
# TNS_SPEC_CLASS: SN Ic-BL
# POINT_SOURCE_PROBABILITY: None
# SLUG: 2017iuk
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: []

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  58094.253	Unknown	3250.873  0.000	18.720  0.000	None	Unknown	Unknown
OBS:	  58094.253	Unknown	3250.873  149.708	18.720  0.050	None	Keck_I	OSIRIS
OBS:	  58118.595	i	4655.861  85.764	18.330  0.020	None	Pan-STARRS1	GPC1
OBS:	  58119.394	G	3837.072  706.815	18.540  0.200	None	Gaia	Gaia-Photometric
OBS:	  58111.166	V	10945.961  656.717	17.402  0.065	None	Swift	UVOT
OBS:	  58112.163	V	10275.455  850.655	17.470  0.090	None	Swift	UVOT
OBS:	  58113.546	V	9097.892  483.330	17.603  0.058	None	Swift	UVOT
OBS:	  58095.289	B	1154.593  127.860	19.844  0.120	None	Siding_Spring_1m	Sinistro
OBS:	  58095.293	V	2459.786  161.542	19.023  0.071	None	Siding_Spring_1m	Sinistro
OBS:	  58095.299	gp	2198.074  108.138	19.145  0.053	None	Siding_Spring_1m	Sinistro
OBS:	  58095.307	rp	1833.491  116.923	19.342  0.069	None	Siding_Spring_1m	Sinistro
OBS:	  58095.316	ip	1881.965  147.600	19.314  0.085	None	Siding_Spring_1m	Sinistro
OBS:	  58097.025	B	19254.085  19254.085	16.789  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58099.663	B	20396.531  20396.531	16.726  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58099.674	V	16336.507  16336.507	16.967  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58099.677	gp	6688.606  6688.606	17.937  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58100.407	B	2660.503  116.700	18.938  0.048	None	Siding_Spring_1m	Sinistro
OBS:	  58100.418	V	7281.246  200.014	17.844  0.030	None	Siding_Spring_1m	Sinistro
OBS:	  58100.425	gp	4691.145  94.819	18.322  0.022	None	Siding_Spring_1m	Sinistro
