# CREATED_DATE: 2018-05-11T22:18:35.685Z
# MODIFIED_DATE: 2021-10-01T22:11:19.054Z
# STATUS: NeedsTemplate
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN Ic
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: NGC 3938; (11:52:49.45, +44:07:14.59)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2017ein
# RA: 178.221875
# DEC: 44.1239444444444
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-05-25T23:16:48Z
# REDSHIFT: 0.0027
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2017-04-19T10:30:43Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.0183
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ic
# POINT_SOURCE_PROBABILITY: None
# SLUG: 2017ein
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [6, 19, 77]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  57900.651	G	17378.008  3201.147	16.900  0.200	None	Gaia	Gaia-Photometric
OBS:	  57883.950	Unknown	398107170553498590913966427574917309153562754809856.000  -36300355198688754978099429916451314029168728679120896.000	-99.000  -99.000	None	Unknown	Unknown
OBS:	  57898.970	Unknown	398107170553498590913966427574917309153562754809856.000  -36300355198688754978099429916451314029168728679120896.000	-99.000  -99.000	None	Unknown	Unknown
OBS:	  57900.216	rp	16193.984  264.767	16.977  0.018	None	Siding_Spring_1m	Sinistro
OBS:	  57901.119	up	24703.355  24703.355	16.518  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57901.121	rp	20806.719  333.681	16.705  0.017	None	Siding_Spring_1m	Sinistro
OBS:	  57901.122	gp	14388.228  310.661	17.105  0.023	None	Siding_Spring_1m	Sinistro
OBS:	  57901.158	B	10878.729  266.899	17.409  0.027	None	Siding_Spring_1m	Sinistro
OBS:	  57901.158	Unknown	10878.729  266.899	17.409  0.027	None	Siding_Spring_1m	Sinistro
OBS:	  57901.160	V	19528.664  298.361	16.774  0.017	None	Siding_Spring_1m	Sinistro
OBS:	  57901.162	rp	21306.138  262.598	16.678  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  57901.164	ip	20626.425  274.958	16.714  0.014	None	Siding_Spring_1m	Sinistro
OBS:	  57902.120	up	27057.527  27057.527	16.419  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57902.121	rp	28022.612  439.251	16.382  0.017	None	Siding_Spring_1m	Sinistro
OBS:	  57902.123	gp	20211.425  398.177	16.736  0.021	None	Siding_Spring_1m	Sinistro
OBS:	  57902.252	rp	28763.382  452.062	16.353  0.017	None	Siding_Spring_1m	Sinistro
OBS:	  57902.253	gp	20551.222  367.928	16.718  0.019	None	Siding_Spring_1m	Sinistro
OBS:	  57914.135	rp	99523.792  1648.999	15.006  0.018	None	Siding_Spring_1m	Sinistro
OBS:	  57914.136	gp	62287.142  1552.111	15.514  0.027	None	Siding_Spring_1m	Sinistro
OBS:	  57915.154	up	13405.148  1132.491	17.182  0.092	None	Siding_Spring_1m	Sinistro
OBS:	  57915.156	rp	100013.222  1144.717	15.000  0.012	None	Siding_Spring_1m	Sinistro
