# CREATED_DATE: 2018-05-11T22:15:44.382Z
# MODIFIED_DATE: 2021-10-01T22:11:19.397Z
# STATUS: NeedsTemplate
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN II
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: NGC 6946; (20:34:52.32, +60:09:14.08)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2017eaw
# RA: 308.684325
# DEC: 60.1933333333333
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-05-14T00:00:00Z
# REDSHIFT: 0.00013
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2017-05-06T12:44:38Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.295158200860023
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN II
# POINT_SOURCE_PROBABILITY: None
# SLUG: 2017eaw
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: True
# HAS_CHANDRA: True
# TAGS: [6, 19, 77]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  57912.943	G	711213.514  131010.371	12.870  0.200	None	Gaia	Gaia-Photometric
OBS:	  57885.200	Unknown	398107170553498590913966427574917309153562754809856.000  -36300355198688754978099429916451314029168728679120896.000	-99.000  -99.000	None	Unknown	Unknown
OBS:	  57887.238	Unknown	398107170553498590913966427574917309153562754809856.000  -36300355198688754978099429916451314029168728679120896.000	-99.000  -99.000	None	Unknown	Unknown
OBS:	  58593.365	r-ZTF	4241.893  649.331	18.431  0.166	None	P48	ZTF-Cam
OBS:	  58618.312	r-ZTF	4992.066  1031.301	18.254  0.224	None	P48	ZTF-Cam
OBS:	  57887.590	UVW1	451550.851  2432.723	13.363  0.006	None	Swift	UVOT
OBS:	  57887.592	U	761362.035  5399.452	12.796  0.008	None	Swift	UVOT
OBS:	  57887.593	B	564371.565  4542.084	13.121  0.009	None	Swift	UVOT
OBS:	  57887.594	UVW2	309383.140  2064.925	13.774  0.007	None	Swift	UVOT
OBS:	  57887.597	V	580948.908  9693.499	13.090  0.018	None	Swift	UVOT
OBS:	  57887.598	UVM2	251908.185  1402.216	13.997  0.006	None	Swift	UVOT
OBS:	  57887.926	UVM2	206990.229  156137.118	14.210  0.819	None	Swift	UVOT
OBS:	  57888.666	UVM2	230510.423  2101.290	14.093  0.010	None	Swift	UVOT
OBS:	  57888.784	UVW1	407586.740  2052.881	13.474  0.005	None	Swift	UVOT
OBS:	  57888.804	UVW2	208876.349  2247.682	14.200  0.012	None	Swift	UVOT
OBS:	  57889.858	UVM2	192829.907  2294.252	14.287  0.013	None	Swift	UVOT
OBS:	  57890.119	UVM2	185115.231  1173.952	14.331  0.007	None	Swift	UVOT
OBS:	  57891.849	UVM2	131147.816  1126.500	14.706  0.009	None	Swift	UVOT
OBS:	  57897.555	UVM2	35798.630  200.660	16.115  0.006	None	Swift	UVOT
OBS:	  57899.424	UVM2	23104.983  229.156	16.591  0.011	None	Swift	UVOT
OBS:	  57902.075	UVW1	63407.706  1407.563	15.495  0.024	None	Swift	UVOT
OBS:	  57902.076	U	319229.967  5039.671	13.740  0.017	None	Swift	UVOT
