# CREATED_DATE: 2018-03-25T18:44:40.213Z
# MODIFIED_DATE: 2021-10-01T22:11:23.010Z
# STATUS: NeedsTemplate
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: Unknown
# PHOTO_CLASS: None
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: NGC 2442; (07:36:23.84, -69:31:50.99)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2016jbu
# RA: 114.108166666667
# DEC: -69.5486805555555
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2016-12-01T14:18:14Z
# REDSHIFT: 0.00489
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2016-10-02T10:56:38Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.174
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: ---
# POINT_SOURCE_PROBABILITY: None
# SLUG: 2016jbu
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [3, 19, 20]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  57723.596	G	1406.048  259.004	19.630  0.200	None	Gaia	Gaia-Photometric
OBS:	  57724.900	Unknown	398107170553498590913966427574917309153562754809856.000  -36300355198688754978099429916451314029168728679120896.000	-99.000  -99.000	None	Unknown	Unknown
OBS:	  57744.850	Unknown	398107170553498590913966427574917309153562754809856.000  -36300355198688754978099429916451314029168728679120896.000	-99.000  -99.000	None	Unknown	Unknown
OBS:	  57752.000	Unknown	398107170553498590913966427574917309153562754809856.000  -36300355198688754978099429916451314029168728679120896.000	-99.000  -99.000	None	Unknown	Unknown
OBS:	  57791.839	Unknown	331131.121  0.000	13.700  0.000	None	Unknown	Unknown
OBS:	  57791.845	Unknown	331131.121  0.000	13.700  0.000	None	Unknown	Unknown
OBS:	  57764.781	V	5083.519  742.442	18.235  0.159	None	Swift	UVOT
OBS:	  57767.222	UVW1	8563.912  231.678	17.668  0.029	None	Swift	UVOT
OBS:	  57767.224	U	39917.881  589.778	15.997  0.016	None	Swift	UVOT
OBS:	  57767.225	B	39544.206  677.378	16.007  0.019	None	Swift	UVOT
OBS:	  57767.227	UVW2	5609.933  122.572	18.128  0.024	None	Swift	UVOT
OBS:	  57767.231	V	43252.596  1222.874	15.910  0.031	None	Swift	UVOT
OBS:	  57767.232	UVM2	3504.118  151.684	18.639  0.047	None	Swift	UVOT
OBS:	  57770.420	UVW1	50991.600  593.162	15.731  0.013	None	Swift	UVOT
OBS:	  57770.421	U	78448.397  779.379	15.264  0.011	None	Swift	UVOT
OBS:	  57770.422	B	82126.481  945.403	15.214  0.013	None	Swift	UVOT
OBS:	  57770.423	UVW2	26451.532  238.575	16.444  0.010	None	Swift	UVOT
OBS:	  57770.425	V	98190.428  1605.789	15.020  0.018	None	Swift	UVOT
OBS:	  57770.426	UVM2	31195.175  406.959	16.265  0.014	None	Swift	UVOT
