Transient,id,ra,dec,disc_date,TransientStatus
YSEAGN2021pq,80085,319.0693583948936,-0.8614655590496901,2021-05-08 00:00:00,Ignore
YSEAGN2021pp,80084,316.49160552005685,-3.905418999395134,2021-05-11 00:00:00,Ignore
YSEAGN2021on,79254,319.4070753532021,13.14262958684261,2021-04-28 00:00:00,Ignore
YSEAGN2021nt,79176,314.8881587894052,-3.899570709083324,2021-04-25 00:00:00,Ignore
YSEAGN2021nn,79120,224.68219466041427,-12.66195346692756,2021-04-23 00:00:00,Ignore
YSEAGN2021mz,78886,333.24188836202217,5.321197338101254,2021-11-23 00:00:00,Ignore
353D_22_64_cand40271,99358,63.23964583333333,-8.081252777777777,,Ignore
353B_56_64_cand22291,99356,59.49572083333333,-9.089583333333334,,Ignore
353B_4_64_cand18146,99510,59.5571625,-7.583961111111111,,Ignore
353A_7_64_cand9733,99355,60.56860416666665,-10.705205555555557,,Ignore
353A_45_64_cand453,99509,59.36883749999999,-11.830591666666669,,Ignore
353A_18_64_cand1582,99508,60.94534999999998,-10.973522222222222,,Ignore
353A_16_64_cand21740,99493,60.165775,-11.04349722222222,,Ignore
257F_56_72_cand30003,99452,93.37998333333331,-22.44565833333333,,Ignore
257F_39_72_cand21703,99455,93.1204375,-21.963763888888888,,Ignore
257F_33_72_cand15732,99456,93.34579583333333,-21.721991666666664,,Ignore
257F_28_72_cand1658,99454,94.10969166666666,-21.674825,,Ignore
257F_15_72_cand22399,99453,93.80799999999998,-21.310422222222225,,Ignore
257E_38_72_cand24030,99343,95.85965833333331,-25.888986111111112,,Ignore
257C_52_72_cand44303,99347,91.05958749999998,-26.41044722222222,,Ignore
257C_52_72_cand23310,99451,91.21377083333331,-26.30883333333333,,Ignore
2022yr,100182,74.90641666666666,52.28388888888889,2022-01-15 09:12:57.600000,Ignore
2022yl,100176,227.0383333333333,13.00901111111111,2022-01-15 16:56:38.400000,Ignore
2022Y,99027,6.829291666666666,44.02488888888889,2022-01-01 09:08:38.400000,Ignore
2022st,99792,51.84345833333333,-5.334319444444444,2022-01-15 02:09:36,Ignore
2022sp,99788,249.6907083333333,-45.72523055555556,2022-01-14 19:39:21.600000,Ignore
2022sj,99778,206.036125,66.10323055555556,2022-01-14 04:04:48,Ignore
2022si,99777,249.5401666666666,-48.86693888888889,2022-01-13 11:55:40.800000,Ignore
2022sh,99776,231.2622083333333,11.12888888888889,2022-01-14 16:58:04.800000,Ignore
2022sg,99775,242.529875,-28.73078888888889,2022-01-13 23:35:31.200000,Ignore
2022sf,99774,355.3460833333333,-74.86054999999999,2022-01-14 08:31:12,Ignore
2022se,99773,111.31704166666664,74.92928888888889,2022-01-14 03:37:26.400000,Ignore
2022rg,99749,248.31570833333333,-46.77603055555556,2022-01-13 05:52:48,Ignore
2022rf,99748,249.9328333333333,-49.35413888888889,2022-01-13 13:42:14.400000,Ignore
2022rc,99745,248.9270416666666,-49.59668888888889,2022-01-13 01:42:14.400000,Ignore
2022rb,99744,237.010375,11.408130555555555,2022-01-12 22:55:12,Ignore
2022qz,99742,255.1088333333333,-61.566538888888886,2022-01-13 01:55:12,Ignore
2022qy,99741,237.53929166666663,9.26888888888889,2022-01-12 22:58:04.800000,Ignore
2022qx,99740,249.15741666666665,-48.212050000000005,2022-01-13 07:40:48,Ignore
2022qw,99739,232.5747916666666,23.4874,2022-01-13 16:45:07.200000,Ignore
2022qv,99738,245.01249999999996,-36.63763888888889,2022-01-12 23:42:43.200000,Ignore
2022qg,99722,248.516125,-56.27751944444445,2022-01-12 06:01:26.400000,Ignore
2022qf,99721,303.05974999999995,-81.9409888888889,2022-01-12 18:33:07.200000,Ignore
2022qe,99720,249.4758333333333,-55.56725,2022-01-12 13:47:59,Ignore
2022qd,99719,244.49075,-60.710550000000005,2022-01-11 06:04:19.200000,Ignore
2022qc,99718,134.4223333333333,86.0624,2022-01-11 21:41:45.600000,Ignore
2022px,99713,243.19116666666665,-39.26683888888889,2022-01-11 11:42:43.200000,Ignore
2022pu,99706,243.3894166666666,-51.0807,2022-01-11 01:40:48,Ignore
2022pt,99705,241.08629166666665,-50.41976111111111,2022-01-10 11:54:14.400000,Ignore
2022ou,99653,231.3989583333333,-70.85244999999999,2022-01-09 20:00:57.600000,Ignore
2022ot,99652,232.3473333333333,-59.94411944444444,2022-01-09 06:02:52.800000,Ignore
2022os,99651,238.68766666666664,-49.64716944444445,2022-01-09 19:39:21.600000,Ignore
2022oq,99649,70.67237499999999,-44.84166944444445,2022-01-09 07:23:31.200000,Ignore
2022op,99648,256.1410833333333,76.15515,2022-01-10 03:53:16.800000,Ignore
2022kq,99513,32.066583333333334,58.17125,2022-01-10 15:07:18.048000,Ignore
2022kl,99433,333.9950833333333,42.37975,2022-01-10 21:09:33.696000,Ignore
2022jw,99409,246.3345,12.052380555555557,2022-01-08 16:49:26.400000,Ignore
2022jv,99408,249.2144583333333,26.44911111111111,2022-01-08 16:36:28.800000,Ignore
2022ju,99407,57.73066666666666,35.99061944444445,2022-01-08 14:48:28.800000,Ignore
2022jt,99406,86.59033333333333,-70.26698888888889,2022-01-09 00:54:43.200000,Ignore
2022ic,99316,62.80383333333334,82.2293,2022-01-09 09:24:28.800000,Ignore
2022eh,99217,74.265875,-26.835288888888886,2022-01-06 21:27:21.600000,Ignore
2022eg,99216,294.8435416666666,66.89658055555556,2022-01-06 15:48:57.600000,Ignore
2022ee,99214,149.01695833333332,69.02619444444444,2022-01-08 14:12:26.208000,Ignore
2022dr,99146,211.00825,-51.63833055555556,2022-01-05 05:58:33.600000,Ignore
2022dq,99145,198.3880833333333,-62.62885,2022-01-06 00:12:57.600000,Ignore
2022dp,99144,214.97854166666664,-51.4209,2022-01-05 17:57:07.200000,Ignore
2022do,99143,261.718125,33.85198055555556,2022-01-05 10:22:04.800000,Ignore
2022dn,99142,191.88025,-64.81373888888889,2022-01-06 00:17:16.800000,Ignore
2022dg,99134,37.005879166666666,29.943261111111116,2022-01-06 13:30:43.200000,Ignore
2022bv,99080,186.23170833333333,-61.96596944444445,2022-01-05 02:03:50.400000,Ignore
2022bu,99079,55.49433333333333,18.204988888888888,2022-01-04 14:28:19.200000,Ignore
2022bt,99075,285.9257083333333,53.79603888888889,2022-01-04 21:57:36,Ignore
2022bs,99074,59.49445833333333,10.495111111111113,2022-01-04 14:21:07.200000,Ignore
2022br,99073,233.39175,-21.506480555555555,2022-01-04 13:07:40.800000,Ignore
2022bq,99072,215.0153333333333,-46.6097,2022-01-04 23:52:48,Ignore
2022bp,99071,43.116416666666666,38.12971944444445,2022-01-04 20:51:21.600000,Ignore
2022bm,99068,34.57816666666666,43.51503055555556,2022-01-04 08:58:33.600000,Ignore
2022bk,99065,203.90204166666663,-49.10818888888889,2022-01-04 00:00:00,Ignore
2022bj,99064,270.91520833333334,40.20556944444445,2022-01-04 10:12:00,Ignore
2022bi,99063,168.18391666666665,-60.5138,2022-01-04 02:11:02.400000,Ignore
2022bh,99062,78.735125,-23.535769444444448,2022-01-04 01:40:48,Ignore
2022be,99059,41.41054166666667,36.98491944444445,2022-01-04 08:49:55.200000,Ignore
2022ba,99054,44.451525,-14.885338888888889,2022-01-05 07:19:12,Ignore
2022al,99037,333.2173333333333,58.947338888888886,2022-01-03 15:33:07.200000,Ignore
2022ak,99036,293.21666666666664,49.7462,2022-01-03 03:54:43.200000,Ignore
2022ac,99026,131.54633333333334,-47.47043888888889,2022-01-01 06:47:31.200000,Ignore
2022ab,99025,243.208625,1.987888888888889,2022-01-01 06:40:19.200000,Ignore
2021zzz,92980,242.10129999999995,35.685916666666664,2021-09-23 03:51:50.400000,Ignore
2021zzy,92979,250.06499166666663,15.479452777777778,2021-09-28 04:11:59,Ignore
2021zzx,92978,286.50437916666664,58.87515,2021-09-28 04:53:45.600000,Ignore
2021zzw,92977,271.8215083333333,57.72866944444445,2021-09-13 05:21:07.200000,Ignore
2021zzt,92973,333.2837666666666,-23.788047222222225,2021-09-26 05:47:02.400000,Ignore
2021zzr,92969,252.1465375,40.74327777777778,2021-09-29 03:13:32.998000,Ignore
2021zzq,92968,248.98090416666665,55.47366944444445,2021-09-23 03:41:38.999000,Ignore
2021zzp,92967,269.77436666666665,44.69254444444445,2021-09-27 04:15:00.999000,Ignore
2021zzo,92966,277.7472374999999,44.4222,2021-09-29 03:25:51.001000,Ignore
2021zzn,92965,306.6168041666666,-24.366972222222223,2021-09-27 04:32:01.997000,Ignore
2021zzm,92964,239.2849833333333,67.587375,2021-09-29 03:18:18.999000,Ignore
2021zzl,92963,278.4769166666666,58.07009722222222,2021-09-27 04:24:46.999000,Ignore
2021zzk,92962,21.0868875,24.753875,2021-09-27 07:36:51.998000,Ignore
2021zzj,92961,44.44555416666667,38.354797222222224,2021-09-27 08:20:02.996000,Ignore
2021zzi,92960,23.663195833333333,55.42012222222222,2021-09-29 07:11:07.002000,Ignore
2021zzf,92957,245.5035,40.44921944444444,2021-09-29 05:28:19.200000,Ignore
